ID	Sex	BirthYear
A5	1	2015
N1713	NA	2023
S131	1	2016
S1359	1	2016
S1360	1	2016
S1379	1	2016
S1384	2	2016
S1399	2	2016
S1402	1	2016
S1404	2	2016
S1410	1	2016
S1411	2	2016
S1412	1	2016
S1417	2	2015
S1418	1	2016
S1421	1	2016
S1423	1	2016
S1427	2	2016
S1428	2	2016
S1429	1	2016
S1430	2	2016
S1431	NA	2016
S1437	2	2016
S1441	1	2016
S1443	2	2016
S1445	1	2016
S1447	2	2016
S1455	2	2016
S1467	1	2016
S1477	1	2016
S1482	2	2016
S1499	2	2016
S14	NA	2014
S1551	1	2016
S1569	1	2016
S1570	NA	2016
S1579	1	2016
S1598	NA	2017
S1603	2	2016
S1612	1	2017
S1613	1	2016
S1616	2	2016
S1622	2	2016
S1632	2	2016
S1641	2	2016
S1643	1	2016
S1684	NA	2016
S1705	1	2016
S1708	1	2016
S1729	2	2016
S1736	2	2016
S1750	1	2015
S1762	1	2016
S1778	1	2016
S1791	2	2016
S2003	2	2016
S2016	2	2016
S2018	2	2016
S2020	1	2016
S2022	2	2016
S2034	2	2016
S2035	2	2016
S2050	NA	2016
S2077	1	2016
S2083	2	2016
S225	2	2016
S22	NA	2015
S276	2	2014
S28	NA	2015
S298	1	2015
S315	2	2016
S3257	NA	2018
S3262	NA	2018
S3269	NA	2016
S3275	NA	2018
S3277	NA	2018
S3283	NA	2018
S3295	NA	2018
S3296	NA	2018
S3300	NA	2018
S3316	2	2016
S3369	2	2018
S3374	2	2016
S3395	2	2018
S3400	2	2016
S3410	2	2016
S3418	1	2016
S3449	NA	2018
S3450	NA	2018
S3451	2	2018
S3452	NA	2018
S3453	NA	2018
S3455	NA	2018
S3456	NA	2017
S3457	NA	2018
S3458	NA	2018
S3459	NA	2018
S3460	NA	2018
S3462	NA	2018
S3463	NA	2018
S3464	NA	2018
S3465	NA	2018
S3466	NA	2018
S3467	NA	2018
S3468	NA	2018
S3469	NA	2018
S3470	NA	2018
S3471	NA	2018
S3472	NA	2018
S3473	NA	2018
S3474	NA	2018
S3475	NA	2018
S3476	NA	2018
S3477	NA	2018
S3478	NA	2018
S3479	NA	2018
S3480	NA	2018
S3481	NA	2018
S3482	NA	2018
S3483	NA	2018
S3484	NA	2018
S3485	NA	2018
S3486	NA	2018
S3487	NA	2018
S3488	NA	2018
S3489	NA	2018
S348	1	2016
S3491	NA	2018
S3492	NA	2018
S3493	NA	2018
S3494	NA	2018
S3496	NA	2018
S3497	NA	2018
S3498	NA	2018
S3499	NA	2018
S34	1	2016
S3500	NA	2018
S3501	NA	2018
S3502	NA	2018
S3503	NA	2018
S3504	NA	2018
S3505	NA	2018
S3506	NA	2018
S3507	NA	2018
S3508	NA	2018
S3510	NA	2018
S3511	NA	2018
S3512	NA	2018
S3513	NA	2018
S3514	NA	2018
S3515	NA	2018
S3516	NA	2018
S3517	NA	2018
S3519	NA	2018
S3520	NA	2018
S3522	NA	2018
S3523	NA	2017
S3526	NA	2018
S3527	NA	2018
S3528	NA	2016
S3529	NA	2018
S3530	NA	2018
S3531	NA	2018
S3532	NA	2018
S3556	NA	2018
S3563	NA	2018
S3572	NA	2018
S3574	NA	2018
S3581	NA	2018
S372	2	2016
S374	1	2016
S3803	NA	2019
S3807	NA	2019
S3809	NA	2019
S3816	NA	2019
S3817	1	2019
S3823	NA	2019
S3826	NA	2019
S3827	NA	2019
S3828	NA	2019
S3829	NA	2019
S3830	NA	2019
S3831	NA	2019
S3832	NA	2019
S3833	NA	2019
S3834	NA	2019
S3836	NA	2018
S3837	NA	2019
S3838	NA	2019
S3839	NA	2019
S3840	NA	2019
S3841	NA	2019
S3843	NA	2019
S3844	NA	2019
S3845	NA	2019
S3846	1	2019
S3847	NA	2019
S3848	1	2019
S3849	NA	2019
S3850	NA	2019
S3851	NA	2019
S3852	2	2018
S3853	1	2019
S3855	NA	2019
S3856	NA	2019
S3857	NA	2019
S3858	NA	2019
S3859	NA	2019
S3860	NA	2019
S3861	NA	2019
S3863	NA	2019
S3864	NA	2018
S3865	NA	2019
S3866	NA	2019
S3867	NA	2019
S3869	NA	2019
S3870	1	2019
S3871	NA	2019
S3872	NA	2019
S3873	NA	2019
S3874	NA	2019
S3876	1	2018
S3877	NA	2019
S3878	NA	2019
S3880	1	2019
S3881	NA	2019
S3882	NA	2019
S3883	NA	2019
S3884	NA	2019
S3885	NA	2019
S3886	NA	2019
S3887	NA	2019
S3888	NA	2019
S3889	NA	2018
S3890	1	2018
S3891	NA	2019
S3892	NA	2019
S3893	NA	2019
S3894	1	2019
S3895	2	2018
S3896	NA	2018
S3897	NA	2019
S3898	NA	2019
S389	1	2016
S3900	NA	2019
S3902	NA	2019
S3903	NA	2019
S3904	1	2019
S3906	NA	2019
S3907	NA	2019
S3908	NA	2019
S3909	1	2019
S3910	NA	2019
S3911	NA	2019
S3912	NA	2019
S3913	NA	2019
S3914	NA	2019
S3915	NA	2018
S3916	NA	2019
S3917	1	2019
S3918	NA	2019
S3919	NA	2019
S391	2	2016
S3920	NA	2019
S3921	NA	2019
S3922	NA	2018
S3923	NA	2019
S3925	NA	2019
S3926	NA	2018
S3928	NA	2019
S3929	NA	2018
S392	1	2016
S3930	NA	2019
S3931	NA	2019
S3932	NA	2019
S3933	NA	2019
S3934	1	2018
S3935	NA	2019
S3936	NA	2019
S3937	NA	2019
S3938	NA	2019
S393	2	2016
S3940	NA	2019
S3941	NA	2018
S3942	NA	2019
S3943	NA	2019
S3944	NA	2019
S3945	NA	2019
S3946	1	2018
S3947	NA	2019
S3948	NA	2019
S3950	NA	2019
S3956	NA	2019
S3961	NA	2019
S3964	NA	2019
S3965	NA	2019
S3967	NA	2019
S3969	NA	2019
S3972	NA	2019
S3973	NA	2019
S3982	NA	2018
S3983	NA	2019
S3987	NA	2019
S398	2	2016
S3990	1	2019
S3993	NA	2019
S3995	1	2019
S399	1	2016
S4001	NA	2019
S4002	NA	2019
S4003	NA	2019
S4004	NA	2019
S4005	NA	2019
S4006	NA	2019
S4007	NA	2019
S4008	NA	2019
S4009	NA	2019
S4010	NA	2019
S4012	NA	2019
S4013	NA	2019
S4014	NA	2018
S4015	NA	2019
S4016	NA	2019
S4017	NA	2019
S4018	NA	2019
S4019	1	2019
S4020	NA	2018
S4021	NA	2019
S4022	NA	2019
S4023	NA	2019
S4024	NA	2019
S4025	NA	2019
S4026	NA	2019
S4027	NA	2019
S4028	NA	2019
S4030	NA	2019
S4031	NA	2019
S4032	NA	2019
S4033	NA	2019
S4034	NA	2019
S4035	NA	2019
S4036	NA	2019
S4037	NA	2019
S4038	NA	2019
S4039	NA	2019
S4040	NA	2019
S4041	NA	2019
S4042	NA	2019
S4044	NA	2019
S4045	NA	2019
S4046	NA	2019
S4047	NA	2019
S4048	NA	2019
S4049	NA	2019
S4050	NA	2019
S4052	NA	2019
S4058	NA	2019
S4060	NA	2018
S4063	NA	2019
S4064	NA	2019
S4067	NA	2019
S4068	NA	2019
S4074	1	2019
S4076	NA	2019
S4080	NA	2019
S4088	1	2019
S40	NA	2014
S4103	NA	2019
S4104	NA	2019
S4105	1	2019
S4106	NA	2019
S4107	NA	2019
S4108	NA	2019
S4110	NA	2019
S4111	NA	2019
S4112	NA	2019
S4113	NA	2019
S4114	NA	2019
S4115	NA	2019
S4116	NA	2019
S4117	NA	2019
S4118	NA	2019
S4120	NA	2019
S4121	NA	2018
S4122	NA	2019
S4123	NA	2019
S4124	NA	2019
S4125	NA	2019
S4126	NA	2019
S4127	NA	2019
S4128	NA	2019
S4129	NA	2019
